[header]
width=15
height=10
tilewidth=16
tileheight=16

[tilesets]
tileset=../../../../../Users/Luka/workspaceC++/FE/data/img/tilesets/chprologue_tileset.png,16,16,0,0

[layer]
type=Calque de Tile 1
data=
1,2,3,4,5,6,6,7,6,1,2,8,9,10,11,
12,13,14,15,16,17,17,18,19,20,21,22,23,24,25,
26,27,28,29,30,6,18,31,32,32,33,34,34,22,23,
35,36,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

